id;direccion;barrio;ciudad;departmento;estrato;depende_econo;trabaja;tiene_dependientes
1;Toallas backing;Coche;supply-chains Sopa Granito;Franc Adaptativo;45647;true;true;true
2;Negro Inversor;complejidad;Grupo Progresivo;open-source Ramal;70637;true;false;false
3;Seguridada SQL;Optimizado Castilla-La;Checking;transmit Metal redundant;83700;true;true;false
4;Guapo mobile;Cliente ADP por;Aragón;Hogar uniforme Riera;49845;false;true;false
5;Fantástico up maximizada;Metal Desarrollador Blanco;Rua;Cambridgeshire;72317;true;false;false
6;withdrawal wireless open-source;Adelante;Tugrik moderador;Baleares;67388;false;true;true
7;Navarra;Kazajistan;Dominica;deposit e-markets;83602;true;false;false
8;Amarillo;Optimizado Facilitador;Madera neural Mesa;Buckinghamshire cross-platform;57046;true;true;true
9;Inversor generate card;Productor recíproca;Nacional program Cambridgeshire;Negro Contabilidad pixel;66172;true;true;true
10;Rupee Bhutanese Apartamento;Ensalada Personal;navigating ejecutiva;seamless Malasia Amarillo;94815;false;false;false
