id;usuario;password;correo_institucional;rol
1;Buckinghamshire transmitting;multiestado;Queso actitud Account;Metal Interno Leone
2;transmitting Galicia;convergence COM Acero;Bedfordshire SCSI;Total
3;program Adelante;Decoración Ramal;PCI Rial Toallas;real-time generación
4;Violeta;Expandido cara;Micronesia Corporativo;Hormigon proyección payment
5;up;Bicicleta;impactful Tunez Pound;generating Fantástico e-commerce
6;tiempo;open-source Refinado;Avon mano Salud;Amarillo
7;Dominica;Técnico;Granito Horizontal;payment online benchmark
8;infomediaries input;Plástico;Atún Bacon;Masía Borders
9;Nigeria;transmit;Ingeniero;optical Morado
10;input Dinánmico Ladrillo;parsing Masía;open-source;Cambridgeshire Kazajistan
